NoJI,Mesin,Tanggal SUP,,
6446 0B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
2575 5J,CERUTI.1                                          ,7/8/2021,,CERUTI.1
7663 0B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
7662 0B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
4903 1B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
4906 1B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
7639 0A,CERUTI.1                                          ,7/8/2021,,CERUTI.1
4584 2D,CERUTI.2                                          ,7/8/2021,,CERUTI.2
4588 2D,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7642 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7635 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6948 2D,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6916 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7121 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7379 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
3841 3G,CERUTI.2                                          ,7/8/2021,,CERUTI.2
4046 2F,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6953 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
4090A 1C,CERUTI.2                                          ,7/8/2021,,CERUTI.2
5201 1B,CERUTI.2                                          ,7/8/2021,,CERUTI.2
2599 6J,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7172 0B,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6678 0C,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7647 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7318 1C,CERUTI.2                                          ,7/8/2021,,CERUTI.2
5756 0B,CERUTI.2                                          ,7/8/2021,,CERUTI.2
3581 2D,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7052 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6072 1F,CERUTI.2                                          ,7/8/2021,,CERUTI.2
1273 8P,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6350 2G,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6285 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6340 2E,CERUTI.2                                          ,7/8/2021,,CERUTI.2
4871 5I,CERUTI.2                                          ,7/8/2021,,CERUTI.2
1620 6O,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7187 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7288 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7144 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7120 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
7703 0A,CERUTI.2                                          ,7/8/2021,,CERUTI.2
2607 3F,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6098 1B,CERUTI.2                                          ,7/8/2021,,CERUTI.2
6165 0B,CERUTI.2                                          ,7/8/2021,,CERUTI.2
5691 0G,CERUTI.3                                          ,7/8/2021,,CERUTI.3
5845A 5D,CERUTI.5,7/8/2021,,CERUTI.5
3849A 1D,CERUTI.3                                          ,7/8/2021,,CERUTI.3
6000 3G,CERUTI.3                                          ,7/8/2021,,CERUTI.3
5886A 0A,CERUTI.3                                          ,7/8/2021,,CERUTI.3
3614 4J,CERUTI.1                                          ,9/8/2021,,CERUTI.1
6826 0A,CERUTI.3                                          ,7/8/2021,,CERUTI.3
3616 5K,CERUTI.1                                          ,9/8/2021,,CERUTI.1
3613 3L,CERUTI.1                                          ,9/6/2021,,CERUTI.1
4525 3G,CERUTI.3                                          ,7/8/2021,,CERUTI.3
4522 3G,CERUTI.3                                          ,7/8/2021,,CERUTI.3
7478 0B,CERUTI.1                                          ,7/9/2021,,CERUTI.1
5736 3H,CERUTI.3                                          ,7/8/2021,,CERUTI.3
5734 3H,CERUTI.3                                          ,7/8/2021,,CERUTI.3
7700 0A,CERUTI.3                                          ,7/8/2021,,CERUTI.3
7685 0A,CERUTI.3                                          ,7/8/2021,,CERUTI.3
2820 4F,CERUTI.1                                          ,7/27/2021,,CERUTI.1
7479 0B,CERUTI.5,7/8/2021,,CERUTI.5
5735 2H,CERUTI.5,7/8/2021,,CERUTI.5
5466 3J,CERUTI.5,7/8/2021,,CERUTI.5
7165 0A,CERUTI.5,7/8/2021,,CERUTI.5
6339 1G,CERUTI.5,7/8/2021,,CERUTI.5
5674 1B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
